cat,cat_label,rows_with_category,nobles_yes_with_category,nobles_no_with_category,pct_yes_within_category,pct_category_within_all_rows
cat_03,Deputati (3 leg. / 6 anni),774,546,228,70.54263566,32.76883997
cat_21,Censo 3000 lire,606,428,178,70.62706271,25.65622354
cat_14,Ufficiali Generali (terra/mare),272,167,105,61.39705882,11.51566469
cat_18,Accademia Scienze,174,120,54,68.96551724,7.366638442
cat_05,Ministri Segretari di Stato,146,108,38,73.97260274,6.181202371
cat_20,Meriti eminenti,116,69,47,59.48275862,4.911092295
cat_17,Intendenti Generali,73,50,23,68.49315068,3.090601185
cat_08,Presidenti Cass./Conti,65,45,20,69.23076923,2.751905165
cat_15,Consiglieri di Stato,61,38,23,62.29508197,2.582557155
cat_16,Consigli di Divisione,60,46,14,76.66666667,2.540220152
cat_09,Presidenti d'appello,59,36,23,61.01694915,2.49788315
cat_12,Consiglieri Cass./Conti,55,32,23,58.18181818,2.32853514
cat_13,Avv./Fiscali Generali (appello),35,14,21,40,1.481795089
cat_06,Ambasciatori,34,29,5,85.29411765,1.439458086
cat_04,Ministri di Stato,24,21,3,87.5,1.016088061
cat_10,Avv./Proc. Generale (Cass.),23,19,4,82.60869565,0.973751058
cat_07,Inviati straordinari,22,18,4,81.81818182,0.931414056
cat_19,Consiglio Istruzione,21,16,5,76.19047619,0.889077053
cat_02,Presidente Camera,15,10,5,66.66666667,0.635055038
cat_11,Presidenti di Classe (appello),8,7,1,87.5,0.33869602
cat_01,Arcivescovi/Vescovi,6,4,2,66.66666667,0.254022015