professione_bio,count,pct_of_all_rows
Possidente,367,15.54
Docente universitario,350,14.82
Avvocato,282,11.94
Magistrato,274,11.6
Militare di carriera (Esercito),259,10.97
Industriale-agricoltore,103,4.36
Prefetto,94,3.98
Industriale,90,3.81
Militare di carriera (Marina),79,3.34
Diplomatico,74,3.13
Funzionario amministrativo,61,2.58
Ingegnere,56,2.37
Giornalista,49,2.07
Amministratore d'azienda,37,1.57
Medico,31,1.31
Banchiere,21,0.89
Docente,17,0.72
Commerciante,15,0.64
Ecclesiastico,12,0.51
Scrittore,10,0.42
Archeologo,8,0.34
Agricoltore,7,0.3
Agronomo,5,0.21
Uomo di corte,5,0.21
Militare di carriera (Aeronautica),5,0.21
Scultore,4,0.17
Pittore,4,0.17
Economista,3,0.13
Musicista,3,0.13
Notaio,2,0.08
Editore,2,0.08
Commediografo,2,0.08
Esploratore,2,0.08
Astronomo,2,0.08
Sindacalista,2,0.08
Poeta,2,0.08
Bibliotecario,2,0.08
Militare di carriera (Esercito) Si,2,0.08
Geologo,2,0.08
Librettista,1,0.04
Diplomatico Incerto,1,0.04
Allevatore,1,0.04
Antiquario,1,0.04
Mancante,1,0.04
Scienziato,1,0.04
Avvocato erariale,1,0.04
Magistrato Si,1,0.04
Prefetto Si,1,0.04
Amministratore pubblico,1,0.04
Critico d'arte,1,0.04
Magistrato Incerto,1,0.04
Naturalista,1,0.04
Bibliografo,1,0.04
Critico letterario,1,0.04
Architetto,1,0.04
"Diplomatico Si, Incerto",1,0.04